NA,s10,s100,s1000,smax,uplift,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,length,h0,popdens,wetland,psig0,psig0coef,psigA,psigB,rsig0,rsigA,rsigB,s10000
UnitedStates3574,0.186,0.382,0.589,3.589,0.23,1,1,1,1,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0.359,0,220.437,0,0.033545311,0.721166315,0.05244011,32.576423422,0.033545311,0.163919996,44.241753934,1.171196431
UnitedStates3575,0.16,0.328,0.504,3.504,0.23,8,1,3,3,5,3,3,3,3,3,3,3,0.75,0.75,0.75,13.089,1.409,1273.64,0,0.121574595,2.524762105,0.056243873,31.066964247,0.121574595,0.164798581,42.854637095,1.00090407
UnitedStates3576,0.152,0.309,0.474,3.474,0.23,1,1,1,1,1,1,1,1,0.25,0.25,0.25,0.25,1,1,1,6.351,1.138,571.035,0,0.037078716,0.721719076,0.048568105,29.989975886,0.037078716,0.165581851,39.817112015,0.927102394
UnitedStates3577,0.244,0.504,0.784,3.784,0.216,1499,227,214,248,326,299,299,299,236,236,236,236,128.75,128.75,128.75,130.469,1.577,41.681,0,2.719626002,44.451279569,0.05622401,24.656602724,2.719626002,0.170656312,33.451457668,1.567160974
UnitedStates3578,0.195,0.401,0.619,3.619,0.23,51,1,7,3,4,7.666666667,7.666666667,7.666666667,2.75,2.75,2.75,2.75,2.5,2.5,2.5,16.172,1.405,534.895,0,2.139424547,30.749788094,0.060105986,21.071317188,2.139424547,0.174351219,29.291977554,1.233008605
UnitedStates3579,0.154,0.314,0.482,3.482,0.23,91,9,13,15,10,13,13,13,8,8,8,8,3.25,3.25,3.25,28.663,1.3,106.018,628.02,5.847110288,86.456398557,0.058034135,21.889796586,5.847110288,0.173503666,29.940285815,0.947815858
UnitedStates3580,0.133,0.269,0.409,3.409,0.23,27,1,1,1,2,2.333333333,2.333333333,2.333333333,2,2,2,2,2.25,2.25,2.25,19.015,1.35,531.093,0,1.920361854,29.285007066,0.061278593,22.332051865,1.920361854,0.177051887,30.99009291,0.796772897
UnitedStates3581,0.141,0.285,0.436,3.436,0.23,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,8.845,1.424,1195.18,0,6.214704861,123.046429432,0.058039541,29.735665964,6.214704861,0.166940077,40.880323703,0.844829696
UnitedStates3582,0.159,0.325,0.499,3.499,0.23,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.449,0,1538.76,0,1.422196352,19.189935031,0.059173461,19.66594859,1.422196352,0.176391117,27.084344963,0.985858599
UnitedStates3583,0.224,0.461,0.715,3.715,0.23,2,1,2,1,1,2.333333333,2.333333333,2.333333333,0.25,0.25,0.25,0.25,0.75,0.75,0.75,5.178,1.715,1568,0,16.272808248,241.934633226,0.058905306,22.074510125,16.272808248,0.17581238799999999,30.395625317,1.421874874
UnitedStates3584,0.288,0.596,0.929,3.929,0.23,6,4,1,4,2,2.333333333,2.333333333,2.333333333,0.5,0.5,0.5,0.5,0.75,0.75,0.75,6.153,2.127,361.501,0,1.715474565,22.469652168,0.059751362,19.284687968,1.715474565,0.17625115,26.278664113,1.861259182
UnitedStates3585,0.269,0.556,0.867,3.867,0.23,3,1,1,1,5,0.666666667,0.666666667,0.666666667,0.75,0.75,0.75,0.75,0.25,0.25,0.25,2.22,2.195,1607.23,0,0.935012595,13.398229752,0.05860633,21.190438064,0.935012595,0.174523873,29.015669259,1.73239959
UnitedStates3586,0.254,0.525,0.817,3.817,0.23,7,2,3,2,2,1,1,1,1,1,1,1,0.5,0.5,0.5,5.665,1.868,496.39,0,2.313862217,34.002771402,0.056668182,21.921805312,2.313862217,0.171587326,29.953877605,1.634775234
UnitedStates3587,0.235,0.484,0.752,3.752,0.23,5,3,1,1,1,0.666666667,0.666666667,0.666666667,0.75,0.75,0.75,0.75,0.75,0.75,0.75,5.665,1.436,1146.94,0,2.820902144,44.103514803,0.057666632,23.224213955,2.820902144,0.16907848,32.096996266,1.495847599
UnitedStates3588,0.169,0.346,0.532,3.532,0.23,6,2,2,3,1,0,0,0,0.5,0.5,0.5,0.5,0.25,0.25,0.25,2.282,1.394,564.505,0,2.868746227,33.752969181,0.060652425,17.09796762,2.868746227,0.179743636,23.500079939,1.053377513
UnitedStates3589,0.148,0.301,0.461,3.461,0.214,38,17,13,12,17,8,8,8,1.5,1.5,1.5,1.5,1.25,1.25,1.25,18.322,1.889,2920.53,0,1.202212518,22.022005762,0.058385056,27.217781701,1.202212518,0.169277238,37.50634205,0.90340473
