MODEL,SCENARIO,REGION,VARIABLE,UNIT,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
IIASA-WiC POP,SSP3_v9_130115,HND,Population,million,,,,,,,,,,,,,7.600524,8.377174707,9.244707774,10.15395534,11.06683381,11.95868851,12.84252029,13.72193279,14.59450511,15.44250483,16.25345279,17.03667586,17.79267424,18.52624738,19.24032029,19.94339669,20.63546456,21.32078973,22.00068083,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,HRV,Population,million,,,,,,,,,,,,,4.40333,4.371782974,4.335720901,4.291150298,4.243233368,4.18822223,4.132396313,4.08242314,4.042153286,4.009428251,3.983038344,3.957190644,3.935191575,3.921266845,3.917345928,3.922296912,3.933054531,3.946899016,3.962028228,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,HTI,Population,million,,,,,,,,,,,,,9.993247,10.66245173,11.36569546,12.10815687,12.84873919,13.54000829,14.18305477,14.78679275,15.35047783,15.84917508,16.2812055,16.6506375,16.97475492,17.25378852,17.51312117,17.75545203,17.97702827,18.18457464,18.39372167,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,HUN,Population,million,,,,,,,,,,,,,9.983645,9.800289529,9.57807585,9.311776021,9.009026749,8.67989674,8.335188208,7.979832914,7.61147644,7.22872395,6.830693545,6.418881772,6.011379056,5.622631496,5.259462354,4.920164956,4.599943353,4.296178534,4.008296621,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,IDN,Population,million,,,,,,,,,,,,,239.870937,252.2695085,264.2141201,275.2234624,285.081649,293.0684875,299.2725442,303.8601579,306.9132737,308.3675289,308.459684,307.47321,305.7829923,303.6361215,301.292174,298.8421112,296.38208,293.9656094,291.6272286,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,IND,Population,million,,,,,,,,,,,,,1224.614327,1315.803182,1412.090248,1508.203567,1603.709235,1696.02723,1787.901745,1880.144636,1970.550275,2054.626927,2131.454482,2202.086896,2268.34206,2331.894239,2392.625341,2450.023244,2504.987966,2557.965671,2608.619242,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,IRL,Population,million,,,,,,,,,,,,,4.4699,4.729617892,4.925221059,5.060474721,5.154494517,5.228510804,5.284938827,5.31638989,5.312102689,5.270001994,5.193587834,5.088304076,4.966433825,4.836543256,4.701745469,4.559757702,4.405626142,4.235449399,4.051470988,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,IRN,Population,million,,,,,,,,,,,,,73.97363,78.79195203,83.57767835,87.77332695,91.36118541,94.5099341,97.5025406,100.2733059,102.5761975,104.1597183,105.0723808,105.52079,105.755769,106.0236636,106.544036,107.4786695,108.8684769,110.6223713,112.6042417,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,IRQ,Population,million,,,,,,,,,,,,,31.671591,36.62830554,42.35384924,48.69904138,55.60840784,62.81759635,70.30457386,78.09360905,86.19762745,94.47568929,102.8913741,111.4440092,120.1475726,128.9981625,137.9467694,146.9436286,155.9788925,165.0702496,174.2432731,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,ISL,Population,million,,,,,,,,,,,,,0.320135946,0.341522307,0.358828891,0.372092232,0.382150296,0.390076161,0.396254613,0.400590292,0.402603512,0.402307475,0.399948057,0.395536695,0.389392042,0.381670274,0.372420089,0.361740403,0.349961464,0.337244059,0.323608939,,,,,,,,,,
