NA,s10,s100,s1000,smax,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,length,popdens,wetland,psig0,psig0coef,psigA,psigB,rsig0,rsigA,rsigB
Philippines10659,0.111,0.225,0.34,3.34,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.337,108.315,0,0.030347675,0.720439869,0.055336979,35.88847124,0.030347675,0.1604636,49.37360064
Philippines10660,0.109,0.221,0.333,3.333,21,2,2,3,1,6,6,6,6.5,6.5,6.5,6.5,6.25,6.25,6.25,9.775,262.647,0,0.030724106,0.720522804,0.05413035,35.72419085,0.030724106,0.159303649,48.96185103
Philippines10661,0.117,0.237,0.359,3.359,28,5,7,6,5,4.666666667,4.666666667,4.666666667,3.75,3.75,3.75,3.75,3.5,3.5,3.5,17.062,113.64,0,0.061444275,1.441005558,0.054423755,36.02147395,0.061444275,0.158416903,49.32205961
Philippines10662,0.149,0.307,0.469,3.469,9,4,2,1,1,1,1,1,0.5,0.5,0.5,0.5,0.25,0.25,0.25,2.037,90.455,0,0.03288634,0.721125154,0.06039859,32.80744655,0.03288634,0.171404527,45.17829097
Philippines10687,0.161,0.333,0.512,3.512,60,10,13,14,21,10.33333333,10.33333333,10.33333333,5,5,5,5,8.25,8.25,8.25,50.646,93.882,15,0.033222933,0.721166625,0.059353256,32.73535192,0.033222933,0.170692208,44.89998063
Philippines10692,0.245,0.515,0.8,3.8,32,5,1,1,2,1.666666667,1.666666667,1.666666667,1.5,1.5,1.5,1.5,1,1,1,78.763,181.14,3.44,0.033222933,0.721166625,0.059353256,32.73535192,0.033222933,0.170692208,44.89998063
Philippines10694,0.116,0.235,0.356,3.356,30,1,2,1,1,0.333333333,0.333333333,0.333333333,0.5,0.5,0.5,0.5,2.25,2.25,2.25,31.557,231.961,0,0.030390007,0.720452543,0.054427873,36.13190923,0.030390007,0.159610656,49.5460906
Philippines10695,0.117,0.237,0.359,3.359,29,2,1,4,4,2.666666667,2.666666667,2.666666667,3,3,3,3,2.25,2.25,2.25,25.33,298.159,1.01,0.031992809,0.720639292,0.060360062,33.74176655,0.031992809,0.168743132,46.74779684
Philippines10696,0.119,0.241,0.364,3.364,48,3,1,1,3,1,1,1,3.25,3.25,3.25,3.25,2,2,2,62.158,168.437,32.944,0.033182245,0.721163036,0.06030454,32.51829618,0.033182245,0.171564745,44.74402227
Philippines10698,0.11,0.222,0.335,3.335,5,1,1,1,1,0,0,0,0.25,0.25,0.25,0.25,0,0,0,2.933,192.728,0,0.030723465,0.72052271,0.054138628,35.72513823,0.030723465,0.159307079,48.96471739
