"segment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Angola1227",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1228",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1229",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1230",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1231",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1232",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1233",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1234",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1235",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"AntiguaandBarbuda8103",0.039361,0.087018,0.14438,0.2094,0.28635,0.37411,0.47048,0.57328,0.67989,0.7806,0.88131,0.99653,1.1105,1.2295,1.3504,1.4734,1.6007,1.7298,1.8536,1.9746
"AntiguaandBarbuda8106",0.039361,0.087018,0.14438,0.2094,0.28635,0.37411,0.47048,0.57328,0.67989,0.7806,0.88131,0.99653,1.1105,1.2295,1.3504,1.4734,1.6007,1.7298,1.8536,1.9746
"Argentina4333",0.018993,0.045062,0.080796,0.12622,0.17964,0.24445,0.3202,0.3989,0.48127,0.56364,0.64601,0.73904,0.83615,0.93365,1.0364,1.1384,1.2446,1.3512,1.4569,1.572
"Argentina4334",0.018993,0.045062,0.080796,0.12622,0.17964,0.24445,0.3202,0.3989,0.48127,0.56364,0.64601,0.73904,0.83615,0.93365,1.0364,1.1384,1.2446,1.3512,1.4569,1.572
"Argentina4347",0.018993,0.045062,0.080796,0.12622,0.17964,0.24445,0.3202,0.3989,0.48127,0.56364,0.64601,0.73904,0.83615,0.93365,1.0364,1.1384,1.2446,1.3512,1.4569,1.572
